Track.Name,Artist.Name,Genre
If I Can't Have You,Shawn Mendes,Canadian pop
Dance Monkey,Tones and I,Australian pop
It's You,Ali Gatie,Canadian hip hop
Con Calma,Daddy Yankee,Latin
QUE PRETENDES,J Balvin,Latin
Takeaway,The Chainsmokers,EDM
7 rings,Ariana Grande,Dance pop
0.958333333333333,Maluma,Reggaeton
The London (feat. J. Cole & Travis Scott),Young Thug,Atl hip hop
Never Really Over,Katy Perry,Dance pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,Big room
Otro Trago,Sech,Panamanian pop
Antisocial (with Travis Scott),Ed Sheeran,Pop
Sucker,Jonas Brothers,Boy band
"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,Dance pop
Higher Love,Kygo,EDM
You Need To Calm Down,Taylor Swift,Dance pop
Shallow,Lady Gaga,Dance pop
Talk,Khalid,Pop
Con Altura,ROSALNA,R&B en espanol
One Thing Right,Marshmello,Brostep
Te Robar,Nicky Jam,Latin
Happier,Marshmello,Brostep
Call You Mine,The Chainsmokers,EDM
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,NaN
